beam_idx,beam_angle_world,measured_range_m,hit_world_x,hit_world_y,map_cell_state
588,1.9743,3.3865,-1.281,3.115,free
589,1.983,3.3917,-1.31,3.108,free
590,1.9917,3.3936,-1.337,3.097,free
591,2.0004,3.8128,-1.539,3.466,free
592,2.0091,3.8138,-1.569,3.453,free
593,2.0178,3.8156,-1.6,3.441,free
594,2.0265,3.8175,-1.631,3.428,free
595,2.0352,3.8138,-1.659,3.41,free
596,2.0439,3.8186,-1.691,3.399,free
597,2.0526,3.8223,-1.722,3.387,free
598,2.0613,3.8229,-1.752,3.372,free
599,2.07,3.8211,-1.78,3.355,free
600,2.0787,3.8254,-1.811,3.343,free
601,2.0874,3.8281,-1.842,3.329,free
602,2.0961,3.8283,-1.871,3.312,free
603,2.1048,3.8318,-1.901,3.298,free
604,2.1135,3.833,-1.93,3.282,free
605,2.1222,3.8327,-1.959,3.265,free
606,2.1309,4.3689,-2.272,3.701,free
607,2.1396,4.373,-2.306,3.684,free
608,2.1483,3.8416,-2.048,3.219,free
609,2.157,3.8398,-2.075,3.199,free
610,2.1657,3.8368,-2.101,3.178,free
611,2.1744,3.4273,-1.896,2.822,free
612,2.1831,3.4289,-1.922,2.806,free
613,2.1918,3.4288,-1.946,2.789,free
614,2.2005,3.4306,-1.971,2.773,free
615,2.2092,3.4308,-1.995,2.755,free
616,2.2179,3.101,-1.82,2.474,free
617,2.2266,3.0985,-1.84,2.456,free
618,2.2353,3.101,-1.863,2.441,free
619,2.244,3.104,-1.886,2.427,free
620,2.2527,3.105,-1.908,2.411,free
621,2.2614,3.1057,-1.929,2.394,free
622,2.2701,3.1063,-1.95,2.377,free
623,2.2788,3.1106,-1.974,2.363,free
624,2.2875,3.1096,-1.994,2.345,free
625,2.2962,3.1098,-2.014,2.327,free
626,2.3049,3.1134,-2.037,2.312,free
627,2.3136,3.114,-2.057,2.294,free
628,2.3223,3.1168,-2.079,2.277,free
629,2.331,3.1148,-2.097,2.257,free
630,2.3397,3.1152,-2.117,2.239,free
631,2.3484,3.4532,-2.374,2.461,free
632,2.3571,3.4541,-2.395,2.44,free
633,2.3658,3.4563,-2.418,2.42,free
634,2.3745,3.4586,-2.441,2.4,free
635,2.3832,3.8726,-2.762,2.663,free
636,2.3919,3.8753,-2.787,2.641,free
637,2.4006,3.8757,-2.81,2.616,free
638,2.4093,3.8774,-2.834,2.592,free
639,2.418,3.879,-2.858,2.568,free
640,2.4267,3.4651,-2.568,2.272,free
641,2.4354,3.4651,-2.587,2.249,free
642,2.4441,3.4662,-2.608,2.226,free
643,2.4528,3.4696,-2.629,2.205,free
644,2.4615,3.137,-2.39,1.973,free
645,2.4702,3.1384,-2.408,1.952,free
646,2.4789,3.1384,-2.425,1.931,free
647,2.4876,3.1395,-2.443,1.91,free
648,2.4963,3.1396,-2.459,1.888,free
649,2.505,3.1414,-2.477,1.868,free
650,2.5137,3.1416,-2.493,1.846,free
651,2.5224,3.1432,-2.511,1.824,free
652,2.5311,3.1427,-2.526,1.802,free
653,2.5398,3.1433,-2.542,1.78,free
654,2.5485,3.1457,-2.559,1.758,free
655,2.5572,3.1483,-2.577,1.737,free
656,2.5659,3.1483,-2.592,1.714,free
657,2.5746,3.1473,-2.606,1.69,free
658,2.5833,3.1492,-2.622,1.668,free
659,2.592,3.152,-2.639,1.646,free
660,2.6007,3.4852,-2.939,1.795,free
661,2.6094,3.4871,-2.956,1.77,free
662,2.6181,3.4891,-2.973,1.744,free
663,2.6268,3.4915,-2.99,1.719,free
664,2.6355,3.9022,-3.364,1.892,free
665,2.6442,3.9028,-3.381,1.862,free
666,2.6529,3.9041,-3.398,1.833,free
667,2.6616,3.4933,-3.049,1.613,free
668,2.6703,3.4913,-3.062,1.585,free
669,2.679,3.4944,-3.078,1.56,free
670,2.6877,3.4932,-3.09,1.532,free
671,2.6964,3.1647,-2.807,1.363,free
672,2.7051,3.1632,-2.817,1.337,free
673,2.7138,3.1644,-2.83,1.313,free
674,2.7225,3.1634,-2.841,1.287,free
675,2.7312,3.1644,-2.853,1.263,free
676,2.7399,3.1666,-2.865,1.238,free
677,2.7486,3.1687,-2.878,1.214,free
678,2.7573,3.1674,-2.887,1.188,free
679,2.766,3.5019,-3.209,1.285,free
680,2.7747,3.5039,-3.222,1.257,free
681,2.7834,3.4999,-3.229,1.227,free
682,2.7921,3.5062,-3.245,1.201,free
683,2.8008,3.5047,-3.254,1.171,free
684,2.8095,3.5045,-3.264,1.143,free
685,2.8182,3.5052,-3.274,1.114,free
686,2.8269,3.5055,-3.284,1.085,free
687,2.8356,3.5076,-3.296,1.057,free
688,2.8443,3.5049,-3.302,1.027,free
689,2.853,3.5062,-3.312,0.998,free
690,2.8617,3.5088,-3.323,0.969,free
691,2.8704,3.5076,-3.33,0.94,free
692,2.8791,3.9195,-3.736,1.017,free
693,2.8878,3.922,-3.747,0.985,free
694,2.8965,3.9199,-3.754,0.951,free
695,2.9052,3.5098,-3.363,0.822,free
696,2.9139,3.5098,-3.37,0.792,free
697,2.9226,3.5096,-3.377,0.762,free
698,2.9313,3.1801,-3.061,0.664,free
699,2.94,3.1784,-3.065,0.636,free
700,2.9487,3.179,-3.071,0.609,free
701,2.9574,3.1801,-3.077,0.583,free
702,2.9661,3.1784,-3.08,0.555,free
703,2.9748,3.1823,-3.089,0.528,free
704,2.9835,3.1823,-3.093,0.501,free
705,2.9922,2.908,-2.827,0.433,free
706,3.0009,2.9066,-2.829,0.408,free
707,3.0096,2.911,-2.837,0.383,free
708,3.0183,2.9093,-2.838,0.358,free
709,3.027,2.9123,-2.844,0.333,free
710,3.0357,2.9113,-2.846,0.308,free
711,3.0444,2.9124,-2.85,0.283,free
712,3.0531,3.1839,-3.122,0.281,free
713,3.0618,3.1819,-3.123,0.254,free
714,3.0705,3.1816,-3.124,0.226,free
715,3.0792,3.1832,-3.128,0.199,free
716,3.0879,3.1848,-3.131,0.171,free
717,3.0966,3.1843,-3.132,0.143,free
718,3.1053,3.5158,-3.464,0.128,free
719,3.114,3.5148,-3.464,0.097,free
720,3.1227,3.5157,-3.466,0.066,free
721,3.1314,3.9284,-3.879,0.04,free
722,3.1401,3.9332,-3.884,0.006,free
