beam_idx,beam_angle_world,measured_range_m,hit_world_x,hit_world_y,map_cell_state
134,-1.9755,1.9036,-0.7,-1.75,occupied
135,-1.9668,1.898,-0.683,-1.751,occupied
136,-1.9581,1.8893,-0.665,-1.749,occupied
137,-1.9494,1.8837,-0.647,-1.75,occupied
138,-1.9407,1.88,-0.631,-1.753,occupied
139,-1.932,1.8726,-0.613,-1.752,occupied
140,-1.9233,1.8647,-0.595,-1.75,occupied
141,-1.9146,1.8605,-0.578,-1.752,occupied
142,-1.9059,1.8539,-0.561,-1.751,occupied
143,-1.8972,1.8489,-0.544,-1.751,occupied
144,-1.8885,1.8456,-0.528,-1.753,occupied
145,-1.8798,1.8418,-0.511,-1.755,occupied
146,-1.8711,1.8338,-0.493,-1.752,occupied
147,-1.8624,1.8298,-0.477,-1.753,free
148,-1.8537,1.8249,-0.46,-1.752,free
149,-1.845,1.8705,-0.457,-1.801,free
150,-1.8363,1.8654,-0.44,-1.8,free
151,-1.8276,1.8626,-0.424,-1.801,free
152,-1.8189,1.8582,-0.407,-1.801,free
153,-1.8102,1.8542,-0.391,-1.801,free
154,-1.8015,1.8514,-0.374,-1.802,free
155,-1.7928,1.848,-0.358,-1.803,free
156,-1.7841,1.8437,-0.341,-1.802,free
157,-1.7754,1.8415,-0.325,-1.803,free
158,-1.7667,1.8425,-0.31,-1.807,free
159,-1.758,1.8417,-0.294,-1.81,free
160,-1.7493,1.858,-0.281,-1.828,free
161,-1.7406,1.9754,-0.285,-1.947,free
162,-1.7319,2.0958,-0.287,-2.069,free
163,-1.7232,2.2007,-0.285,-2.175,free
164,-1.7145,2.2916,-0.279,-2.268,free
165,-1.7058,2.7234,-0.318,-2.699,free
166,-1.6971,3.3364,-0.371,-3.31,free
167,-1.6884,2.9952,-0.302,-2.974,free
168,-1.6797,2.9946,-0.276,-2.977,free
169,-1.671,2.9928,-0.25,-2.978,free
170,-1.6623,2.9916,-0.224,-2.979,free
171,-1.6536,3.3242,-0.226,-3.313,free
172,-1.6449,3.3241,-0.197,-3.315,free
173,-1.6362,2.9852,-0.146,-2.979,free
174,-1.6275,2.98,-0.12,-2.975,free
175,-1.6188,2.9796,-0.094,-2.976,free
176,-1.6101,2.7008,-0.057,-2.699,free
177,-1.6014,2.7003,-0.034,-2.699,free
178,-1.5927,2.6962,-0.01,-2.696,free
179,-1.584,2.6964,0.013,-2.696,free
180,-1.5753,2.6942,0.037,-2.694,free
181,-1.5666,2.6929,0.06,-2.693,free
182,-1.5579,2.6912,0.084,-2.691,free
183,-1.5492,2.6905,0.107,-2.69,free
184,-1.5405,2.6876,0.13,-2.686,free
185,-1.5318,2.6844,0.154,-2.682,free
186,-1.5231,2.6827,0.177,-2.68,free
187,-1.5144,2.6805,0.2,-2.676,free
188,-1.5057,2.6781,0.223,-2.672,free
189,-1.497,2.6758,0.246,-2.669,free
190,-1.4883,2.6751,0.269,-2.666,free
191,-1.4796,2.6737,0.293,-2.663,free
192,-1.4709,2.6701,0.315,-2.657,free
193,-1.4622,2.6702,0.338,-2.654,free
194,-1.4535,2.6677,0.361,-2.649,free
195,-1.4448,2.6669,0.384,-2.646,free
196,-1.4361,2.9432,0.444,-2.917,free
197,-1.4274,2.9414,0.469,-2.911,free
198,-1.4187,2.9406,0.495,-2.907,free
199,-1.41,2.9392,0.52,-2.901,free
200,-1.4013,2.9368,0.544,-2.895,free
201,-1.3926,3.2737,0.629,-3.222,free
202,-1.3839,3.2721,0.657,-3.215,free
203,-1.3752,3.2696,0.684,-3.207,free
204,-1.3665,2.9307,0.644,-2.87,free
205,-1.3578,2.9278,0.668,-2.862,free
206,-1.3491,2.9276,0.693,-2.856,free
207,-1.3404,2.9255,0.717,-2.848,free
208,-1.3317,2.9234,0.741,-2.84,free
209,-1.323,2.9212,0.766,-2.832,free
210,-1.3143,2.9184,0.789,-2.823,free
211,-1.3056,2.9179,0.814,-2.816,free
212,-1.2969,2.9153,0.838,-2.807,free
213,-1.2882,2.9157,0.862,-2.8,free
214,-1.2795,2.9126,0.886,-2.79,free
215,-1.2708,2.9133,0.91,-2.783,free
216,-1.2621,2.9088,0.933,-2.771,free
217,-1.2534,2.9071,0.956,-2.762,free
218,-1.2447,2.9084,0.981,-2.755,free
219,-1.236,2.9038,1.003,-2.743,free
220,-1.2273,2.9045,1.027,-2.735,free
221,-1.2186,2.9004,1.05,-2.722,free
222,-1.2099,2.8988,1.073,-2.712,free
223,-1.2012,2.8961,1.095,-2.701,free
224,-1.1925,2.9002,1.12,-2.695,free
225,-1.1838,3.2361,1.27,-2.997,free
226,-1.1751,3.2323,1.295,-2.983,free
227,-1.1664,3.2324,1.321,-2.972,free
228,-1.1577,3.2295,1.345,-2.958,free
229,-1.149,3.2297,1.371,-2.947,free
230,-1.1403,3.2269,1.396,-2.932,free
231,-1.1316,3.2274,1.421,-2.921,free
232,-1.1229,3.2228,1.445,-2.905,free
233,-1.1142,3.2267,1.472,-2.896,free
234,-1.1055,2.8816,1.342,-2.575,free
235,-1.0968,2.8787,1.363,-2.561,free
236,-1.0881,2.8757,1.384,-2.547,free
237,-1.0794,2.8736,1.405,-2.534,free
238,-1.0707,2.5929,1.292,-2.275,free
239,-1.062,2.593,1.312,-2.265,free
240,-1.0533,2.5919,1.331,-2.253,free
241,-1.0446,2.5879,1.349,-2.238,free
242,-1.0359,2.5857,1.367,-2.225,free
243,-1.0272,2.5869,1.387,-2.214,free
244,-1.0185,2.5851,1.405,-2.201,free
245,-1.0098,2.5821,1.423,-2.186,free
246,-1.0011,2.5805,1.441,-2.173,free
247,-0.9924,2.5803,1.46,-2.161,free
248,-0.9837,2.5781,1.477,-2.146,free
249,-0.975,2.5775,1.495,-2.133,free
250,-0.9663,2.575,1.513,-2.119,free
251,-0.9576,2.5741,1.53,-2.105,free
252,-0.9489,2.5728,1.548,-2.091,free
253,-0.9402,2.5717,1.565,-2.077,free
254,-0.9315,2.5715,1.583,-2.064,free
255,-0.9228,2.5687,1.599,-2.048,free
256,-0.9141,2.5662,1.616,-2.033,free
257,-0.9054,2.8473,1.807,-2.24,free
258,-0.8967,2.8464,1.826,-2.224,free
259,-0.888,2.8436,1.843,-2.206,free
260,-0.8793,2.8423,1.862,-2.189,free
261,-0.8706,2.8424,1.881,-2.174,free
262,-0.8619,2.8446,1.901,-2.159,free
263,-0.8532,3.1823,2.142,-2.398,free
264,-0.8445,3.1798,2.161,-2.377,free
265,-0.8358,3.1803,2.182,-2.359,free
266,-0.8271,2.8355,1.969,-2.087,free
267,-0.8184,2.8346,1.986,-2.069,free
268,-0.8097,2.8344,2.004,-2.052,free
269,-0.801,2.8303,2.019,-2.032,free
270,-0.7923,2.549,1.839,-1.815,free
271,-0.7836,2.5483,1.854,-1.799,free
272,-0.7749,2.5469,1.869,-1.782,free
