timestamp,mode,trial_id,instruction,group,target_key,policy,goal_source,waypoint_count,waypoints,target_x,target_y,target_yaw,planned_path_length_m,nav_result,duration_sec,trajectory_length_m,final_pose_source,final_x,final_y,final_yaw,final_navigation_error_m,physical_arrival,success_radius_m,timeout,stuck,recovery_count,amcl_odom_disagreement_m,goal_center_state,goal_free_ratio,goal_safe
2026-07-02 13:33:07,online,1,Go to the plant.,near,plant,observation_pose,observation_pose,1,"0.350,-2.920,3.142",0.35,-2.92,3.142,2.941,success,113.494,3.149,odom,0.512,-2.802,-1.676,0.201,True,0.8,False,False,,,free,1.0,True
2026-07-02 13:33:09,online,2,Navigate to the green plant near the chair.,near,plant,observation_pose,observation_pose,1,"0.350,-2.920,3.142",0.35,-2.92,3.142,2.941,success,0.062,0.0,odom,0.512,-2.802,-1.676,0.201,True,0.8,False,False,,,free,1.0,True
