timestamp,mode,trial_id,instruction,group,target_key,policy,goal_source,waypoint_count,waypoints,target_x,target_y,target_yaw,planned_path_length_m,nav_result,duration_sec,trajectory_length_m,final_pose_source,final_x,final_y,final_yaw,final_navigation_error_m,physical_arrival,success_radius_m,timeout,stuck,recovery_count,amcl_odom_disagreement_m,cmd_vel_nav_count,cmd_vel_nav_nonzero_count,cmd_vel_nav_max_linear_x,cmd_vel_nav_max_angular_z,cmd_vel_count,cmd_vel_nonzero_count,cmd_vel_max_linear_x,cmd_vel_max_angular_z,goal_center_state,goal_free_ratio,goal_safe
2026-07-02 14:42:11,online,3,Go to the black office chair.,near,chair,observation_pose,observation_pose,1,"0.200,-0.690,3.142",0.2,-0.69,3.142,0.718,stuck,46.083,0.738,odom,1.252,-0.406,-1.467,1.09,False,0.35,False,True,,,194,194,0.194,0.356,0,0,0.0,0.0,free,1.0,True
2026-07-02 14:43:22,online,3,Go to the black office chair.,near,chair,object_center,object_center,1,"-0.540,-0.690,1.570",-0.54,-0.69,1.57,0.876,success,69.865,1.824,odom,-0.253,-0.829,2.894,0.319,True,0.35,False,False,,,275,274,0.32,0.356,0,0,0.0,0.0,free,1.0,True
